month_year,bias,count,mean,std,min,25%,50%,75%,max
2017-11,Center ,38.0,3986.5263157894738,2426.8999660543714,531.0,2121.25,3671.0,5434.75,9909.0
2017-11,Left ,58.0,4403.775862068966,3215.9502322407357,345.0,2077.75,3172.0,6744.0,14782.0
2017-11,Right ,49.0,3460.2244897959185,1701.069225826633,678.0,2098.0,3080.0,4784.0,6849.0
2017-12,Center ,39.0,3928.102564102564,2263.519776515651,346.0,2200.0,3741.0,5120.0,9679.0
2017-12,Left ,52.0,5222.307692307692,3398.905674746214,359.0,2622.75,4490.5,7168.25,14243.0
2017-12,Right ,44.0,3504.4545454545455,2062.2579570962416,703.0,2013.75,2933.0,4828.0,10403.0
2018-01,Center ,46.0,4827.282608695652,2845.360017549378,445.0,3248.25,4379.0,6174.25,11709.0
2018-01,Left ,57.0,4890.543859649123,3294.945263311752,383.0,2044.0,4598.0,6844.0,15101.0
2018-01,Right ,50.0,4039.14,2350.8362473027883,1022.0,2293.75,3665.0,5262.5,12778.0
2018-02,Center ,36.0,4211.555555555556,2640.388201376505,364.0,2041.25,4107.5,5660.25,9388.0
2018-02,Left ,48.0,4161.0,2863.933695595266,257.0,2067.25,3516.5,6063.25,13979.0
2018-02,Right ,43.0,3486.186046511628,1909.8799670063286,820.0,1998.5,3034.0,4612.5,7263.0
2018-03,Center ,50.0,3785.14,2577.2470600568017,343.0,1594.5,3884.5,5592.25,9788.0
2018-03,Left ,51.0,4796.568627450981,3715.7009635055515,820.0,2015.5,3199.0,7313.0,16696.0
2018-03,Right ,50.0,3979.18,2267.5959371734893,537.0,2489.25,3338.5,5176.25,12796.0
2018-04,Center ,50.0,3277.96,2397.969548920715,282.0,569.5,2716.5,5107.0,9155.0
2018-04,Left ,54.0,5035.333333333333,3311.1166958572912,944.0,2305.25,4357.0,6696.0,17499.0
2018-04,Right ,48.0,4326.1875,2557.9391110834986,704.0,2571.5,3873.5,5509.5,13169.0
2018-05,Center ,64.0,4105.359375,1983.8214394748934,407.0,2455.0,4337.0,5731.75,7676.0
2018-05,Left ,63.0,4674.460317460317,2871.3333354732426,305.0,2622.0,3927.0,6658.0,13040.0
2018-05,Right ,59.0,3938.0169491525426,2444.7892052953084,410.0,2207.5,3311.0,4994.5,10909.0
2018-06,Center ,24.0,4337.375,2543.4187333706714,511.0,2395.0,4054.5,6839.75,8329.0
2018-06,Left ,29.0,4800.068965517241,3293.330835958315,470.0,1687.0,4415.0,6846.0,15649.0
2018-06,Right ,27.0,3120.4444444444443,1768.3020394050625,536.0,2050.0,2780.0,3783.5,8191.0
